Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
1,short,18,2.0,1.0,10,2024-01-01 17:00:00,849,84,0.6214,3729,2024-01-02 17:00:00,SL,-1.0,1000.0,12.5,0.002,125.0,125.0,125.0,0.0,0.0,1000.0,-1.25,0.25,-1.5,1000.0,998.5,-0.14999999999999458,1000.0,0.15,ACTIVE,True
2,short,186,2.0,1.0,1,2024-01-02 21:55:00,4310,431,0.6041,7190,2024-01-03 21:55:00,SL,-1.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,0.0,0.0,998.5,-1.248125,0.249625,-1.49775,998.5,997.00225,-0.2997750000000021,1000.0,0.2997749999999996,ACTIVE,True
3,short,186,2.0,1.0,1,2024-01-02 22:05:00,4330,433,0.6067,7210,2024-01-03 22:05:00,SL,-1.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,124.8125,124.8125,873.6875,-1.248125,0.249625,-1.49775,997.00225,995.5045,-0.44954999999999856,1000.0,0.44954999999999923,ACTIVE,True
4,short,205,2.5,1.25,5,2024-01-02 22:35:00,4394,439,0.091,7274,2024-01-03 22:35:00,TP,2.5,998.5,12.5,0.002,124.8125,124.8125,124.8125,249.625,0.0,748.875,3.1203125000000003,0.249625,2.8706875000000003,995.5045,998.3751875,-0.1624812500000017,1000.0,0.1624812499999962,ACTIVE,True
5,short,205,2.5,1.25,5,2024-01-02 22:40:00,4404,440,0.09108,7284,2024-01-03 22:40:00,TP,2.5,998.5,12.5,0.002,124.8125,124.8125,124.8125,374.4375,124.8125,624.0625,3.1203125000000003,0.249625,2.8706875000000003,998.3751875,1001.2458750000001,0.12458750000001739,1001.2458750000001,0.0,ACTIVE,True
6,short,28,2.5,1.5,7,2024-01-03 13:00:00,6126,612,2227.51,9006,2024-01-04 13:00:00,Time_288,-0.2953971025943734,998.5,12.5,0.002,124.8125,124.8125,124.8125,499.25,0.0,499.25,-0.3686925086756023,0.249625,-0.6183175086756023,1001.2458750000001,1000.6275574913245,0.0627557491324593,1001.2458750000001,0.06175481209104061,ACTIVE,True
7,short,23,2.5,1.5,2,2024-01-03 13:35:00,6191,619,37.23,9071,2024-01-04 13:35:00,TP,2.5,998.5,12.5,0.002,124.8125,124.8125,124.8125,624.0625,0.0,374.4375,3.1203125000000003,0.249625,2.8706875000000003,1000.6275574913245,1003.4982449913246,0.34982449913245617,1003.4982449913246,0.0,ACTIVE,True
8,short,113,2.0,2.0,6,2024-01-03 13:35:00,6195,619,7.62,9075,2024-01-04 13:35:00,TP,2.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,748.875,0.0,249.625,2.49625,0.249625,2.246625,1003.4982449913246,1005.7448699913245,0.5744869991324508,1005.7448699913245,0.0,ACTIVE,True
9,short,50,3.0,1.5,1,2024-01-03 13:40:00,6200,620,0.5573,9080,2024-01-04 13:40:00,TP,3.0,998.5,12.5,0.002,124.8125,124.8125,124.8125,873.6875,249.625,124.8125,3.744375,0.249625,3.49475,1005.7448699913245,1009.2396199913245,0.9239619991324499,1009.2396199913245,0.0,ACTIVE,True
10,short,87,2.5,2.0,1,2024-01-05 02:15:00,10590,1059,0.5545,13470,2024-01-06 02:15:00,TP,2.5,1009.2396199913245,12.5,0.002,126.15495249891556,126.15495249891556,126.15495249891556,0.0,0.0,1009.2396199913245,3.1538738124728893,0.2523099049978311,2.901563907475058,1009.2396199913245,1012.1411838987996,1.214118389879948,1012.1411838987996,0.0,ACTIVE,True
11,short,216,2.5,1.0,10,2024-01-05 02:45:00,10659,1065,0.575,13539,2024-01-06 02:45:00,TP,2.5,1009.2396199913245,12.5,0.002,126.15495249891556,126.15495249891556,126.15495249891556,126.15495249891556,0.0,883.0846674924089,3.1538738124728893,0.2523099049978311,2.901563907475058,1012.1411838987996,1015.0427478062746,1.5042747806274681,1015.0427478062746,0.0,ACTIVE,True
12,short,20,2.0,1.75,10,2024-01-05 02:50:00,10669,1066,0.5747,13549,2024-01-06 02:50:00,TP,2.0,1009.2396199913245,12.5,0.002,126.15495249891556,126.15495249891556,126.15495249891556,252.30990499783113,126.15495249891556,756.9297149934933,2.5230990499783115,0.2523099049978311,2.2707891449804802,1015.0427478062746,1017.3135369512551,1.7313536951255148,1017.3135369512551,0.0,ACTIVE,True
13,short,87,2.5,2.0,1,2024-01-05 03:00:00,10680,1068,0.5549,13560,2024-01-06 03:00:00,TP,2.5,1009.2396199913245,12.5,0.002,126.15495249891556,126.15495249891556,126.15495249891556,378.4648574967467,126.15495249891556,630.7747624945778,3.1538738124728893,0.2523099049978311,2.901563907475058,1017.3135369512551,1020.2151008587301,2.021510085873013,1020.2151008587301,0.0,ACTIVE,True
14,short,105,2.5,1.0,10,2024-01-05 03:00:00,10689,1068,0.5761,13569,2024-01-06 03:00:00,TP,2.5,1009.2396199913245,12.5,0.002,126.15495249891556,126.15495249891556,126.15495249891556,504.61980999566225,252.30990499783113,504.61980999566225,3.1538738124728893,0.2523099049978311,2.901563907475058,1020.2151008587301,1023.1166647662052,2.311666476620511,1023.1166647662052,0.0,ACTIVE,True
